Date,volume,high,low,adjclose,close,open,Row
01/10/2018 2:30:00 PM,648600,72.839996338,70.150001526,72.690002441,72.690002441,70.389999390,181
08/03/2018 1:30:00 PM,3449700,109.169998169,99.309997559,102.839996338,102.839996338,107.440002441,323
03/29/2018 1:30:00 PM,682300,81.620002747,78.319999695,80.819999695,80.819999695,79.370002747,235
07/21/2017 1:30:00 PM,506900,64.269996643,63.590000153,63.770000458,63.770000458,64.269996643,62
05/19/2017 1:30:00 PM,1130300,60.889999390,59.470001221,60.340000153,60.340000153,60,19
11/16/2018 2:30:00 PM,852200,119.569999695,114.370002747,116.040000916,116.040000916,116.440002441,397
02/22/2018 2:30:00 PM,490900,83.099998474,81.639999390,81.940002441,81.940002441,82.419998169,210
05/10/2017 1:30:00 PM,717800,60.75,59.419998169,60.479999542,60.479999542,59.919998169,12
04/20/2018 1:30:00 PM,694500,84.910003662,83.650001526,83.819999695,83.819999695,84.019996643,250
12/12/2018 2:30:00 PM,843400,131.820007324,128.789993286,128.830001831,128.830001831,129.5,413
05/24/2018 1:30:00 PM,1123600,98.230003357,95.639999390,97.379997253,97.379997253,95.980003357,274
02/15/2019 2:30:00 PM,895500,130.559997559,127.5,129.339996338,129.339996338,130.399993896,457
12/28/2018 2:30:00 PM,758100,121.529998779,116.779998779,118.260002136,118.260002136,120.529998779,424
11/14/2017 2:30:00 PM,361100,71.75,70.900001526,71.180000305,71.180000305,71.120002747,143
01/16/2018 2:30:00 PM,700400,75.669998169,72.470001221,73.199996948,73.199996948,75.190002441,184
06/27/2018 1:30:00 PM,463900,97.830001831,93.610000610,93.650001526,93.650001526,96.949996948,297
12/20/2017 2:30:00 PM,407100,70.940002441,69.800003052,70.059997559,70.059997559,70.730003357,168
04/12/2018 1:30:00 PM,447500,81.559997559,80.089996338,81.160003662,81.160003662,80.330001831,244
12/21/2018 2:30:00 PM,1377100,120.019996643,111.319999695,112.279998779,112.279998779,119.870002747,420
07/06/2018 1:30:00 PM,422800,102.860000610,101.099998474,102.680000305,102.680000305,101.099998474,303
12/27/2018 2:30:00 PM,656000,119.910003662,115.180000305,119.900001526,119.900001526,116.569999695,423
11/28/2017 2:30:00 PM,713500,71.480003357,70.760002136,70.940002441,70.940002441,70.839996338,152
12/11/2017 2:30:00 PM,602600,72.069999695,70.940002441,71.190002441,71.190002441,71.790000916,161
03/14/2019 1:30:00 PM,583500,132.050003052,127.559997559,130.440002441,130.440002441,129,475
02/23/2018 2:30:00 PM,297700,83.290000916,82.029998779,83.279998779,83.279998779,82.300003052,211
06/28/2017 1:30:00 PM,693900,65.040000916,63.639999390,64.129997253,64.129997253,64.910003662,46
05/22/2018 1:30:00 PM,563300,95.190002441,93.849998474,94.269996643,94.269996643,94.779998779,272
09/21/2017 1:30:00 PM,338900,75.669998169,74.540000916,75.430000305,75.430000305,75.5,105
12/17/2018 2:30:00 PM,1220700,127.879997253,119.25,120.059997559,120.059997559,127.529998779,416
02/06/2018 2:30:00 PM,3305900,80,76.279998779,79.300003052,79.300003052,78.389999390,199
09/24/2018 1:30:00 PM,717700,111.510002136,107.900001526,110.959999084,110.959999084,109.489997864,358
08/25/2017 1:30:00 PM,590100,73.370002747,71.690002441,71.809997559,71.809997559,72.230003357,87
11/01/2017 1:30:00 PM,1356300,81.739997864,79.269996643,80.760002136,80.760002136,81.550003052,134
03/09/2018 2:30:00 PM,641000,87.599998474,86.040000916,86.639999390,86.639999390,86.260002136,221
07/13/2018 1:30:00 PM,487000,109.389999390,107.510002136,108.769996643,108.769996643,108.879997253,308
06/25/2018 1:30:00 PM,1369100,96.589996338,92.010002136,93.669998169,93.669998169,96,295
09/27/2017 1:30:00 PM,477800,75.940002441,73.910003662,75.650001526,75.650001526,74.349998474,109
04/04/2019 1:30:00 PM,1435000,130.570007324,121.029998779,123.610000610,123.610000610,130.570007324,490
10/26/2018 1:30:00 PM,855800,98.949996948,94.839996338,96.769996643,96.769996643,96.690002441,382
08/23/2018 1:30:00 PM,548100,104.360000610,102.410003662,103.190002441,103.190002441,102.489997864,337
05/17/2017 1:30:00 PM,1173100,61.340000153,60.169998169,60.229999542,60.229999542,60.75,17
01/31/2018 2:30:00 PM,832500,77.470001221,75.879997253,76.809997559,76.809997559,76.720001221,195
03/20/2018 1:30:00 PM,476800,83.830001831,82.410003662,83.589996338,83.589996338,82.489997864,228
03/16/2018 1:30:00 PM,527400,84.949996948,83.019996643,83.330001831,83.330001831,84.610000610,226
06/06/2018 1:30:00 PM,600700,101.589996338,100.040000916,100.650001526,100.650001526,100.699996948,282
05/16/2017 1:30:00 PM,1175800,62.790000916,61.349998474,61.979999542,61.979999542,61.930000305,16
10/04/2017 1:30:00 PM,397500,76.269996643,75.220001221,76.120002747,76.120002747,76.050003052,114
02/01/2019 2:30:00 PM,1048000,130.539993286,126.319999695,130.429992676,130.429992676,128.059997559,447
07/03/2017 1:30:00 PM,456900,61.790000916,60.430000305,61.159999847,61.159999847,61.630001068,49
07/26/2017 1:30:00 PM,560100,65.440002441,64.680000305,64.980003357,64.980003357,65.099998474,65
07/31/2018 1:30:00 PM,898600,104.540000916,100.800003052,103.069999695,103.069999695,102.470001221,320
11/06/2017 2:30:00 PM,2618100,74.660003662,71.120002747,71.400001526,71.400001526,74.580001831,137
02/20/2018 2:30:00 PM,1039500,83.569999695,80.980003357,82.660003662,82.660003662,81.029998779,208
10/23/2017 1:30:00 PM,663300,79.75,78.849998474,79.150001526,79.150001526,79.680000305,127
04/09/2018 1:30:00 PM,763900,79.639999390,77.760002136,77.819999695,77.819999695,78.639999390,241
